group	label	ns	tau	cov	rc	pr	f
DNN ESM1b	DNN ESM1b	ec_numbers	0.560	0.993	0.944	0.962	0.953
DNN ESM1b	DNN ESM1b	ec_numbers	0.570	0.993	0.944	0.962	0.953
DNN ESM1b	DNN ESM1b	ec_numbers	0.580	0.992	0.943	0.962	0.953
DNN ESM1b	DNN ESM1b	ec_numbers	0.590	0.992	0.943	0.963	0.953
DNN ESM1b	DNN ESM1b	ec_numbers	0.600	0.992	0.943	0.963	0.953
DNN ESM1b	DNN ESM1b	ec_numbers	0.610	0.992	0.942	0.963	0.953
DNN ESM1b	DNN ESM1b	ec_numbers	0.620	0.992	0.942	0.964	0.953
DNN ESM1b	DNN ESM1b	ec_numbers	0.630	0.991	0.942	0.964	0.953
DNN ESM1b	DNN ESM1b	ec_numbers	0.640	0.991	0.941	0.964	0.953
DNN ESM1b	DNN ESM1b	ec_numbers	0.650	0.991	0.941	0.965	0.953
DNN ESM1b	DNN ESM1b	ec_numbers	0.660	0.991	0.941	0.965	0.953
DNN ESM1b	DNN ESM1b	ec_numbers	0.670	0.991	0.940	0.965	0.953
DNN ESM1b	DNN ESM1b	ec_numbers	0.680	0.990	0.940	0.966	0.953
DNN ESM1b	DNN ESM1b	ec_numbers	0.690	0.990	0.939	0.966	0.953
DNN ESM1b	DNN ESM1b	ec_numbers	0.700	0.990	0.939	0.966	0.952
DNN ESM1b	DNN ESM1b	ec_numbers	0.710	0.990	0.939	0.967	0.952
DNN ESM1b	DNN ESM1b	ec_numbers	0.720	0.989	0.938	0.967	0.952
DNN ESM1b	DNN ESM1b	ec_numbers	0.730	0.989	0.938	0.967	0.952
DNN ESM1b	DNN ESM1b	ec_numbers	0.740	0.989	0.937	0.968	0.952
DNN ESM1b	DNN ESM1b	ec_numbers	0.750	0.988	0.937	0.968	0.952
DNN ESM1b	DNN ESM1b	ec_numbers	0.760	0.988	0.936	0.968	0.952
DNN ESM1b	DNN ESM1b	ec_numbers	0.770	0.988	0.936	0.969	0.952
DNN ESM1b	DNN ESM1b	ec_numbers	0.780	0.987	0.935	0.969	0.952
DNN ESM1b	DNN ESM1b	ec_numbers	0.790	0.987	0.935	0.969	0.952
DNN ESM1b	DNN ESM1b	ec_numbers	0.800	0.987	0.934	0.970	0.952
DNN ESM1b	DNN ESM1b	ec_numbers	0.810	0.986	0.934	0.970	0.951
DNN ESM1b	DNN ESM1b	ec_numbers	0.820	0.986	0.933	0.971	0.951
DNN ESM1b	DNN ESM1b	ec_numbers	0.830	0.985	0.932	0.971	0.951
DNN ESM1b	DNN ESM1b	ec_numbers	0.840	0.985	0.931	0.972	0.951
DNN ESM1b	DNN ESM1b	ec_numbers	0.850	0.984	0.930	0.972	0.951
DNN ESM1b	DNN ESM1b	ec_numbers	0.860	0.984	0.930	0.973	0.951
DNN ESM1b	DNN ESM1b	ec_numbers	0.870	0.983	0.929	0.973	0.950
DNN ESM1b	DNN ESM1b	ec_numbers	0.880	0.982	0.928	0.974	0.950
DNN ESM1b	DNN ESM1b	ec_numbers	0.890	0.982	0.927	0.974	0.950
DNN ESM1b	DNN ESM1b	ec_numbers	0.900	0.981	0.925	0.975	0.949
DNN ESM1b	DNN ESM1b	ec_numbers	0.910	0.980	0.924	0.975	0.949
DNN ESM1b	DNN ESM1b	ec_numbers	0.920	0.979	0.923	0.976	0.949
DNN ESM1b	DNN ESM1b	ec_numbers	0.930	0.978	0.921	0.977	0.948
DNN ESM1b	DNN ESM1b	ec_numbers	0.940	0.977	0.919	0.978	0.948
DNN ESM1b	DNN ESM1b	ec_numbers	0.950	0.976	0.917	0.979	0.947
DNN ESM1b	DNN ESM1b	ec_numbers	0.960	0.974	0.914	0.980	0.946
DNN ESM1b	DNN ESM1b	ec_numbers	0.970	0.972	0.910	0.981	0.944
DNN ESM1b	DNN ESM1b	ec_numbers	0.980	0.968	0.904	0.983	0.942
DNN ESM1b	DNN ESM1b	ec_numbers	0.990	0.963	0.894	0.986	0.938
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.010	1.000	0.975	0.913	0.943
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.020	1.000	0.975	0.913	0.943
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.030	1.000	0.973	0.923	0.947
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.040	1.000	0.971	0.928	0.949
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.050	1.000	0.970	0.932	0.951
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.060	1.000	0.969	0.935	0.952
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.070	0.999	0.968	0.937	0.953
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.080	0.999	0.968	0.939	0.953
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.090	0.999	0.967	0.941	0.954
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.100	0.999	0.966	0.943	0.954
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.110	0.999	0.966	0.944	0.955
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.120	0.999	0.965	0.945	0.955
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.130	0.999	0.965	0.946	0.956
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.140	0.999	0.964	0.947	0.956
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.150	0.999	0.964	0.948	0.956
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.160	0.999	0.963	0.949	0.956
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.170	0.999	0.963	0.950	0.956
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.180	0.999	0.962	0.950	0.956
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.190	0.998	0.962	0.951	0.956
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.200	0.998	0.961	0.952	0.956
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.210	0.998	0.961	0.952	0.956
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.220	0.998	0.960	0.953	0.957
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.230	0.998	0.960	0.953	0.957
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.240	0.998	0.959	0.954	0.957
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.250	0.998	0.959	0.954	0.957
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.260	0.998	0.959	0.955	0.957
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.270	0.998	0.958	0.955	0.957
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.280	0.998	0.958	0.956	0.957
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.290	0.998	0.958	0.956	0.957
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.300	0.997	0.957	0.956	0.957
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.310	0.997	0.957	0.957	0.957
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.320	0.997	0.957	0.957	0.957
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.330	0.997	0.956	0.958	0.957
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.340	0.997	0.956	0.958	0.957
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.350	0.997	0.956	0.958	0.957
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.360	0.997	0.955	0.958	0.957
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.370	0.997	0.955	0.959	0.957
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.380	0.997	0.955	0.959	0.957
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.390	0.997	0.954	0.960	0.957
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.400	0.996	0.954	0.960	0.957
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.410	0.996	0.954	0.960	0.957
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.420	0.996	0.953	0.960	0.957
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.430	0.996	0.953	0.961	0.957
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.440	0.996	0.953	0.961	0.957
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.450	0.996	0.952	0.962	0.957
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.460	0.996	0.952	0.962	0.957
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.470	0.996	0.952	0.962	0.957
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.480	0.995	0.951	0.963	0.957
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.490	0.995	0.951	0.963	0.957
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.500	0.995	0.951	0.963	0.957
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.510	0.995	0.950	0.963	0.957
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.520	0.995	0.950	0.964	0.957
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.530	0.995	0.950	0.964	0.957
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.540	0.995	0.949	0.964	0.957
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.550	0.994	0.949	0.965	0.957
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.560	0.994	0.948	0.965	0.957
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.570	0.994	0.948	0.965	0.957
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.580	0.994	0.948	0.965	0.957
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.590	0.994	0.947	0.966	0.957
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.600	0.994	0.947	0.966	0.956
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.610	0.994	0.947	0.966	0.956
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.620	0.993	0.946	0.967	0.957
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.630	0.993	0.946	0.967	0.956
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.640	0.993	0.946	0.967	0.956
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.650	0.993	0.945	0.968	0.956
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.660	0.993	0.945	0.968	0.956
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.670	0.992	0.944	0.968	0.956
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.680	0.992	0.944	0.969	0.956
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.690	0.992	0.943	0.969	0.956
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.700	0.992	0.943	0.969	0.956
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.710	0.991	0.942	0.969	0.956
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.720	0.991	0.942	0.970	0.956
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.730	0.991	0.941	0.970	0.955
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.740	0.990	0.941	0.971	0.955
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.750	0.990	0.940	0.971	0.955
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.760	0.990	0.939	0.971	0.955
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.770	0.989	0.939	0.972	0.955
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.780	0.989	0.938	0.972	0.955
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.790	0.989	0.937	0.972	0.955
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.800	0.988	0.937	0.973	0.954
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.810	0.988	0.936	0.973	0.954
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.820	0.988	0.935	0.974	0.954
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.830	0.987	0.935	0.974	0.954
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.840	0.987	0.934	0.975	0.954
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.850	0.986	0.933	0.975	0.954
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.860	0.986	0.932	0.976	0.953
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.870	0.985	0.931	0.976	0.953
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.880	0.984	0.930	0.977	0.953
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.890	0.984	0.929	0.977	0.952
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.900	0.983	0.927	0.978	0.952
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.910	0.982	0.925	0.978	0.951
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.920	0.981	0.924	0.979	0.950
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.930	0.980	0.922	0.980	0.950
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.940	0.978	0.919	0.980	0.949
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.950	0.977	0.917	0.981	0.948
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.960	0.975	0.913	0.983	0.947
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.970	0.973	0.908	0.984	0.945
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.980	0.969	0.901	0.985	0.941
