,Model,Level,EC,F1 score
265,BLASTp,1,1.14.13.239,0.9714285714285714
266,BLASTp,1,1.14.13.24,0.5882352941176471
267,BLASTp,1,1.14.13.25,0.7142857142857142
268,BLASTp,1,1.14.13.38,0.6153846153846153
269,BLASTp,1,1.14.13.39,0.9705882352941176
270,BLASTp,1,1.14.13.50,0.3448275862068965
271,BLASTp,1,1.14.13.59,0.9803921568627451
272,BLASTp,1,1.14.13.7,0.7741935483870968
273,BLASTp,1,1.14.13.8,0.7999999999999999
274,BLASTp,1,1.14.13.81,0.9824561403508771
275,BLASTp,1,1.14.13.82,0.7142857142857143
276,BLASTp,1,1.14.13.83,0.972972972972973
277,BLASTp,1,1.14.13.84,0.47058823529411764
278,BLASTp,1,1.14.13.9,0.9610389610389611
279,BLASTp,1,1.14.13.92,0.625
280,BLASTp,1,1.14.14.1,0.860759493670886
281,BLASTp,1,1.14.14.10,0.8235294117647058
282,BLASTp,1,1.14.14.12,0.9285714285714286
283,BLASTp,1,1.14.14.17,1.0
284,BLASTp,1,1.14.14.18,0.9259259259259259
285,BLASTp,1,1.14.14.21,0.9333333333333333
286,BLASTp,1,1.14.14.23,1.0
287,BLASTp,1,1.14.14.3,0.8292682926829269
288,BLASTp,1,1.14.14.46,0.8148148148148148
289,BLASTp,1,1.14.14.47,0.9655172413793104
290,BLASTp,1,1.14.14.5,1.0
291,BLASTp,1,1.14.14.9,0.6086956521739131
292,BLASTp,1,1.14.15.21,0.9411764705882353
293,BLASTp,1,1.14.15.24,1.0
294,BLASTp,1,1.14.15.29,0.9523809523809523
295,BLASTp,1,1.14.15.3,0.918918918918919
296,BLASTp,1,1.14.15.30,0.9500000000000001
297,BLASTp,1,1.14.15.32,0.888888888888889
298,BLASTp,1,1.14.15.6,0.9268292682926829
299,BLASTp,1,1.14.15.7,0.972972972972973
300,BLASTp,1,1.14.16.1,0.888888888888889
301,BLASTp,1,1.14.16.2,0.9714285714285714
302,BLASTp,1,1.14.16.4,0.962962962962963
303,BLASTp,1,1.14.17.1,0.9411764705882353
304,BLASTp,1,1.14.17.3,0.9545454545454545
305,BLASTp,1,1.14.17.4,1.0
306,BLASTp,1,1.14.18.1,0.9295774647887324
307,BLASTp,1,1.14.18.2,1.0
308,BLASTp,1,1.14.18.3,0.7741935483870968
309,BLASTp,1,1.14.19.1,0.8695652173913043
310,BLASTp,1,1.14.19.17,1.0
311,BLASTp,1,1.14.19.18,1.0
312,BLASTp,1,1.14.19.2,0.8571428571428572
313,BLASTp,1,1.14.19.21,0.962962962962963
314,BLASTp,1,1.14.19.3,0.7999999999999999
315,BLASTp,1,1.14.19.9,1.0
316,BLASTp,1,1.14.99.1,1.0
317,BLASTp,1,1.14.99.29,1.0
318,BLASTp,1,1.14.99.39,0.8
319,BLASTp,1,1.14.99.44,0.6666666666666667
