,Model,Level,EC,F1 score
302,DNN ProtBERT,1,1.14.15,0.9071729957805907
303,DNN ProtBERT,1,1.14.16,0.976
304,DNN ProtBERT,1,1.14.17,0.9677419354838709
305,DNN ProtBERT,1,1.14.18,0.858974358974359
306,DNN ProtBERT,1,1.14.19,0.934010152284264
307,DNN ProtBERT,1,1.14.20,0.6857142857142857
308,DNN ProtBERT,1,1.14.99,0.8806366047745359
309,DNN ProtBERT,1,1.15.1,0.9593495934959351
310,DNN ProtBERT,1,1.16.1,0.9482758620689655
311,DNN ProtBERT,1,1.16.3,0.962962962962963
312,DNN ProtBERT,1,1.17.1,0.8181818181818182
313,DNN ProtBERT,1,1.17.2,0.7999999999999999
314,DNN ProtBERT,1,1.17.4,0.9056603773584905
315,DNN ProtBERT,1,1.17.5,0.7272727272727273
316,DNN ProtBERT,1,1.17.7,1.0
317,DNN ProtBERT,1,1.17.99,1.0
318,DNN ProtBERT,1,1.18.1,0.9416058394160584
319,DNN ProtBERT,1,1.18.6,0.9500000000000001
320,DNN ProtBERT,1,1.2.1,0.9690376569037656
321,DNN ProtBERT,1,1.2.3,0.9069767441860465
322,DNN ProtBERT,1,1.2.4,0.9570552147239264
323,DNN ProtBERT,1,1.2.5,0.7313432835820896
324,DNN ProtBERT,1,1.2.7,0.9275362318840579
325,DNN ProtBERT,1,1.2.98,0.744186046511628
326,DNN ProtBERT,1,1.2.99,0.7599999999999999
327,DNN ProtBERT,1,1.20.4,0.9298245614035089
328,DNN ProtBERT,1,1.20.9,0.9444444444444444
329,DNN ProtBERT,1,1.21.1,0.9032258064516129
330,DNN ProtBERT,1,1.21.4,0.9896907216494846
331,DNN ProtBERT,1,1.21.98,0.9836065573770492
332,DNN ProtBERT,1,1.3.1,0.9113082039911308
333,DNN ProtBERT,1,1.3.3,0.9272727272727272
334,DNN ProtBERT,1,1.3.5,0.9430051813471502
335,DNN ProtBERT,1,1.3.7,0.9536082474226804
336,DNN ProtBERT,1,1.3.8,0.8373493975903615
337,DNN ProtBERT,1,1.3.98,0.9041095890410958
338,DNN ProtBERT,1,1.3.99,0.8127853881278538
339,DNN ProtBERT,1,1.4.1,0.9405405405405406
340,DNN ProtBERT,1,1.4.3,0.9378757515030061
341,DNN ProtBERT,1,1.4.4,1.0
342,DNN ProtBERT,1,1.4.7,0.7317073170731706
343,DNN ProtBERT,1,1.4.9,0.9655172413793104
344,DNN ProtBERT,1,1.4.99,0.9016393442622951
345,DNN ProtBERT,1,1.5.1,0.9463667820069205
346,DNN ProtBERT,1,1.5.3,0.7607361963190183
347,DNN ProtBERT,1,1.5.5,0.9583333333333334
348,DNN ProtBERT,1,1.5.8,0.7936507936507937
349,DNN ProtBERT,1,1.5.98,0.9855072463768115
350,DNN ProtBERT,1,1.5.99,0.7578947368421053
351,DNN ProtBERT,1,1.6.1,0.9333333333333333
352,DNN ProtBERT,1,1.6.2,0.972972972972973
353,DNN ProtBERT,1,1.6.3,0.9375
354,DNN ProtBERT,1,1.6.5,0.9029850746268656
355,DNN ProtBERT,1,1.6.99,0.8
356,DNN ProtBERT,1,1.7.1,0.9615384615384616
357,DNN ProtBERT,1,1.7.2,0.9230769230769231
358,DNN ProtBERT,1,1.7.3,0.9696969696969697
359,DNN ProtBERT,1,1.7.5,0.8
360,DNN ProtBERT,1,1.7.7,0.8510638297872342
361,DNN ProtBERT,1,1.7.99,0.9655172413793104
362,DNN ProtBERT,1,1.8.1,0.9214437367303608
363,DNN ProtBERT,1,1.8.2,0.8761904761904761
364,DNN ProtBERT,1,1.8.3,0.962962962962963
365,DNN ProtBERT,1,1.8.4,0.9784172661870503
366,DNN ProtBERT,1,1.8.5,0.8426395939086295
367,DNN ProtBERT,1,1.8.7,0.923076923076923
368,DNN ProtBERT,1,1.8.98,0.9433962264150944
369,DNN ProtBERT,1,1.8.99,0.9574468085106383
370,DNN ProtBERT,1,1.9.6,1.0
371,DNN ProtBERT,1,1.97.1,0.9401709401709402
