method,threshold,EC number,Number of positives,F1 score,Difference of F1 score
DNN ESM2 3B,1e-21,1.14.19.2,16,0.9411764705882353,0.08403361344537807
DNN ESM2 3B,1e-21,1.14.19.21,13,1.0,0.03703703703703698
DNN ESM2 3B,1e-21,1.14.19.3,14,0.9032258064516129,0.10322580645161294
DNN ESM2 3B,1e-21,1.14.99.39,14,0.8275862068965518,0.02758620689655178
DNN ESM2 3B,1e-21,1.14.99.44,14,0.7333333333333334,0.06666666666666665
DNN ESM2 3B,1e-21,1.16.3.2,14,1.0,0.03703703703703698
DNN ESM2 3B,1e-21,1.17.1.4,21,0.5263157894736842,0.05012531328320802
DNN ESM2 3B,1e-21,1.17.1.5,14,0.7407407407407408,0.14814814814814814
DNN ESM2 3B,1e-21,1.17.2.1,15,0.8387096774193549,0.12903225806451624
DNN ESM2 3B,1e-21,1.17.4.4,14,1.0,0.03448275862068961
DNN ESM2 3B,1e-21,1.18.1.1,21,0.8717948717948718,0.03846153846153855
DNN ESM2 3B,1e-21,1.18.1.5,15,0.8125,0.038306451612903136
DNN ESM2 3B,1e-21,1.2.1.10,59,0.9914529914529915,0.00840214399536432
DNN ESM2 3B,1e-21,1.2.1.103,14,1.0,0.03448275862068961
DNN ESM2 3B,1e-21,1.2.1.16,14,0.6451612903225806,0.228494623655914
DNN ESM2 3B,1e-21,1.2.1.19,15,0.7407407407407408,0.003898635477582957
DNN ESM2 3B,1e-21,1.2.1.26,14,0.5833333333333334,0.044871794871794934
DNN ESM2 3B,1e-21,1.2.1.32,14,0.8125000000000001,0.16733870967741948
DNN ESM2 3B,1e-21,1.2.1.38,133,1.0,0.0037735849056603765
DNN ESM2 3B,1e-21,1.2.1.4,14,0.689655172413793,0.11822660098522164
DNN ESM2 3B,1e-21,1.2.1.62,14,0.6666666666666666,0.030303030303030276
DNN ESM2 3B,1e-21,1.2.1.73,14,0.8275862068965518,0.041871921182266125
DNN ESM2 3B,1e-21,1.2.1.76,14,0.88,0.02285714285714291
DNN ESM2 3B,1e-21,1.2.1.85,14,0.7741935483870968,0.10752688172043012
DNN ESM2 3B,1e-21,1.2.3.1,19,0.8717948717948718,0.0146520146520146
DNN ESM2 3B,1e-21,1.2.4.2,22,1.0,0.06666666666666676
DNN ESM2 3B,1e-21,1.2.4.4,14,0.9032258064516129,0.014336917562723928
DNN ESM2 3B,1e-21,1.2.5.2,21,0.7222222222222222,0.18168168168168175
DNN ESM2 3B,1e-21,1.2.7.11,23,0.8695652173913043,0.14229249011857714
DNN ESM2 3B,1e-21,1.2.7.3,19,0.9047619047619047,0.15476190476190455
DNN ESM2 3B,1e-21,1.2.7.4,21,0.9,0.19411764705882362
DNN ESM2 3B,1e-21,1.2.98.1,26,0.8444444444444443,0.018357487922705085
DNN ESM2 3B,1e-21,1.20.4.4,24,0.9795918367346939,0.07393145937620327
DNN ESM2 3B,1e-21,1.20.9.1,17,0.9444444444444444,0.04121863799283154
DNN ESM2 3B,1e-21,1.21.4.2,19,0.8648648648648649,0.007722007722007707
DNN ESM2 3B,1e-21,1.3.1.1,14,0.7692307692307692,0.04923076923076908
DNN ESM2 3B,1e-21,1.3.1.104,14,0.896551724137931,0.039408866995073955
DNN ESM2 3B,1e-21,1.3.1.106,14,0.7096774193548386,0.08898776418242482
DNN ESM2 3B,1e-21,1.3.1.108,13,0.8333333333333333,0.07471264367816088
DNN ESM2 3B,1e-21,1.3.1.12,44,0.7466666666666666,0.02444444444444427
DNN ESM2 3B,1e-21,1.3.1.2,14,1.0,0.03448275862068961
DNN ESM2 3B,1e-21,1.3.1.22,14,0.896551724137931,0.02155172413793094
DNN ESM2 3B,1e-21,1.3.1.28,13,0.7826086956521738,0.032608695652173725
DNN ESM2 3B,1e-21,1.3.1.44,14,0.7647058823529412,0.014705882352941235
DNN ESM2 3B,1e-21,1.3.1.45,14,0.7586206896551724,0.09195402298850575
DNN ESM2 3B,1e-21,1.3.1.54,14,0.6428571428571429,0.050264550264550234
DNN ESM2 3B,1e-21,1.3.1.6,14,0.923076923076923,0.0954907161803712
DNN ESM2 3B,1e-21,1.3.1.74,25,0.5,0.0789473684210526
